Wavelength,Wavenumber,Epsilon
201.8794041,49535,2628
202.4885046,49386,2634
203.1013889,49236,2644
203.7184185,49087,2670
204.3394711,48938,2706
204.9644869,48789,2750
205.6008673,48638,2795
206.2641923,48482,2855
206.9033602,48332,2917
207.4985265,48193,2979
208.1495112,48042,3047
208.6259733,47933,3135
209.2347651,47793,3217
209.9166536,47638,3342
210.5275262,47500,3453
211.0884347,47374,3574
211.5714869,47265,3698
212.1378231,47139,3819
212.7615944,47001,3940
213.3790996,46865,4082
214.0360639,46721,4211
214.7231184,46572,4346
215.4145433,46422,4482
216.1102337,46273,4611
216.8103583,46123,4739
217.514941,45974,4864
218.2238749,45825,4978
218.9210984,45679,5087
219.6498889,45527,5191
220.3416707,45384,5281
221.0995733,45228,5372
221.8425431,45077,5454
222.5804959,44928,5531
223.3154174,44780,5620
224.0618038,44631,5689
224.8128786,44481,5737
225.5689256,44332,5780
226.3299945,44183,5818
227.0957708,44034,5826
227.8666242,43885,5826
228.6426054,43736,5818
229.4234349,43588,5780
230.2095325,43439,5737
230.9910759,43292,5663
231.8256058,43136,5590
232.5510451,43001,5519
233.152623,42890,5413
233.8791688,42757,5346
234.4216362,42658,5231
235.1046736,42534,5167
235.6524985,42435,5037
236.3621583,42308,4956
236.5977997,42266,4832
237.3334443,42135,4769
237.5707993,42093,4639
238.2920739,41965,4563
238.6726525,41898,4437
239.3487775,41780,4317
240.0351305,41661,4182
240.6292943,41558,4041
241.2026127,41459,3915
241.7784284,41360,3785
242.3569307,41261,3655
242.9379298,41163,3521
243.5215815,41064,3387
244.1329499,40961,3265
244.7258097,40862,3135
245.1167539,40797,3056
245.4361507,40744,2931
246.0217242,40647,2835
246.3186313,40598,2726
246.7534828,40526,2635
247.2291329,40448,2535
247.7065045,40370,2436
248.1348161,40301,2342
248.5711487,40230,2255
248.8827543,40180,2174
249.3329884,40107,2098
249.6908618,40050,2025
249.9973278,40000,1959
250.3705112,39941,1882
250.6207077,39901,1804
251.0077308,39839,1750
251.3539785,39785,1716
251.4733651,39766,1654
251.8180067,39711,1601
251.9379986,39692,1545
252.2836515,39638,1491
252.5620201,39594,1435
252.9000495,39541,1379
253.3413432,39472,1317
253.502312,39447,1267
253.8519644,39393,1219
254.1336816,39349,1172
254.4755464,39297,1122
254.8013902,39246,1071
255.073813,39204,1019
255.3929508,39155,979
255.5856564,39126,932
255.9229088,39074,886
256.2345352,39027,847
256.4048624,39001,814
256.7153778,38954,780
256.8541538,38933,750
257.0612387,38901,719
257.3482377,38858,687
257.4754742,38839,655
257.8633207,38780,597
257.8683883,38779,624
258.0799287,38748,577
258.3690473,38704,551
258.5657775,38675,523
258.8512504,38632,498
258.9352063,38620,476
259.1681603,38585,455
259.3226695,38562,438
259.5403003,38530,418
259.8278905,38487,399
259.9485495,38469,381
260.1121718,38445,367
260.2762131,38421,354
260.4406213,38396,342
260.6897325,38360,331
260.9342387,38324,307
260.9647002,38319,319
261.1820291,38287,291
261.4547382,38248,267
261.4673473,38246,278
261.6038801,38226,257
261.9501083,38175,235
261.9693606,38172,246
262.1164228,38151,227
262.3148205,38122,218
262.4808484,38098,208
262.6721413,38070,201
262.7537621,38058,194
262.9084449,38036,186
263.0388575,38017,177
263.2653975,37984,169
263.4203564,37962,162
263.444383,37959,156
263.6480579,37929,150
263.8707157,37897,142
264.0246849,37875,135
264.1715742,37854,130
264.2541735,37842,125
264.4604663,37813,121
264.5818858,37795,115
264.7731618,37768,102
264.7810108,37767,109
264.9729212,37740,106
265.1199566,37719,95
265.2585231,37699,99
265.3948808,37680,90
265.6035508,37650,86
265.6864936,37638,82
265.7070472,37635,79
265.8780174,37611,77
266.1106205,37578,73
266.1882019,37567,67
266.3179572,37549,69
266.4476708,37531,64
266.6577439,37501,61
266.7660613,37486,56
266.8001592,37481,58
266.9554802,37459,53
267.0641365,37444,51
267.2948719,37412,47
267.3218188,37408,49
267.4044099,37397,45
267.5993005,37369,43
267.7436686,37349,40
267.8499995,37334,41
267.9264972,37324,38
268.2233743,37282,36
268.2606921,37277,34
268.4451789,37252,33
268.6273635,37226,30
268.7770891,37206,29
268.9214498,37186,27
268.9513522,37181,28
269.1222808,37158,26
269.1822979,37150,25
269.2940617,37134,24
269.4024461,37119,23
269.7287831,37074,21
269.7330619,37074,22
269.7699694,37069,21
269.9145521,37049,19
270.0920074,37024,19
270.0962976,37024,20
270.1878572,37011,18
270.2596035,37001,17
270.4835254,36971,16
270.5183558,36966,17
270.6593326,36947,15
270.8142097,36926,15
270.8142978,36926,14
271.0108026,36899,14
271.0974461,36887,13
271.1603855,36879,13
271.3828203,36848,12
271.4721145,36836,11
271.5375905,36827,12
271.7093921,36804,11
271.7124199,36804,11
