Wavelength,Wavenumber,Epsilon
281.1006204,35574,82
282.4419307,35406,83
283.5524683,35267,85
284.4806912,35152,89
285.1897113,35064,92
285.7791357,34992,96
286.3394168,34924,99
286.9686605,34847,104
287.6558415,34764,108
288.4653304,34666,113
289.1228914,34587,119
289.748004,34513,123
290.2606674,34452,128
290.9431894,34371,133
291.3397707,34324,139
292.0029566,34246,144
292.437374,34195,150
293.1602982,34111,157
293.8874379,34027,165
294.5988791,33944,173
295.0547777,33892,181
295.7022218,33818,188
296.4416894,33733,197
297.1652622,33651,206
297.6291497,33599,215
298.3468719,33518,224
298.8144687,33466,233
299.3990487,33400,242
299.8780933,33347,251
300.4214181,33287,261
301.2019895,33200,274
301.8487688,33129,288
302.3762352,33071,299
302.9858876,33005,309
303.597878,32938,319
304.1462223,32879,331
304.6392382,32826,350
305.3610122,32748,367
306.1388532,32665,383
306.5362336,32623,399
307.372378,32534,417
308.1300672,32454,439
308.9122281,32372,461
309.4137127,32319,481
310.1688323,32241,504
310.811838,32174,528
311.4784272,32105,551
312.2240706,32028,579
312.9724216,31952,604
313.4955643,31898,625
314.0768957,31839,649
314.6043984,31786,675
315.3221455,31714,706
316.0931003,31636,735
316.7285158,31573,764
317.4936808,31497,796
317.8796444,31458,827
318.6886729,31379,860
319.5018834,31299,895
320.3197913,31219,936
321.1155135,31141,987
322.1513331,31041,1022
322.6812847,30990,1076
323.0799158,30952,1118
323.9951352,30865,1163
324.7566113,30792,1218
325.6012361,30712,1269
326.4505444,30633,1325
327.3448718,30549,1383
328.1634804,30473,1456
329.0263958,30393,1522
329.893975,30313,1593
330.7656267,30233,1660
331.6414596,30153,1722
332.5210149,30073,1773
333.2810698,30005,1857
333.9271891,29947,1922
335.4487322,29811,2030
336.3931376,29727,2120
337.4287887,29636,2211
338.2104393,29567,2295
339.2788658,29474,2388
340.5082139,29368,2498
341.7244372,29263,2615
342.5259189,29195,2709
343.5994117,29104,2817
344.5670856,29022,2924
345.517176,28942,3024
346.2235368,28883,3143
347.8298826,28750,3259
349.0221172,28651,3393
350.0436427,28568,3518
351.3278065,28463,3646
352.6453133,28357,3789
353.9725914,28251,3934
355.3654893,28140,4080
356.9938596,28012,4218
358.6944443,27879,4375
360.7566526,27720,4572
362.8407272,27560,4708
364.9482546,27401,4822
367.0790689,27242,4893
369.2338421,27083,4927
371.4120418,26924,4892
373.6144874,26766,4805
375.7478217,26614,4659
377.0561071,26521,4504
378.7848081,26400,4356
380.3416634,26292,4194
381.5165875,26211,4046
382.4776486,26145,3913
383.6375605,26066,3765
384.2174256,26027,3628
384.995766,25974,3508
385.7485367,25924,3380
387.1548464,25829,3246
387.7446934,25790,3114
388.5368525,25738,3001
388.9978434,25707,2889
389.7283983,25659,2790
390.5046847,25608,2662
391.2423796,25560,2542
392.0332924,25508,2433
392.972524,25447,2316
393.6522481,25403,2205
394.4665981,25351,2097
395.2839566,25298,1989
396.0000665,25253,1878
396.6159884,25213,1789
397.5321665,25155,1699
397.9239209,25130,1627
398.538046,25092,1570
399.261329,25046,1508
399.3909656,25038,1441
400.1458961,24991,1382
400.6829337,24957,1310
401.1902859,24926,1238
401.4653462,24909,1193
402.2354059,24861,1142
403.0065726,24813,1081
403.7807019,24766,1024
404.4282372,24726,942
404.5596781,24718,980
404.7916223,24704,898
405.219249,24678,863
405.5746091,24656,827
406.0744631,24626,784
406.5753346,24596,743
406.7856958,24583,707
407.0126315,24569,679
407.4449661,24543,653
408.0116985,24509,632
408.2251527,24496,607
408.3424878,24489,577
409.0182895,24449,549
409.4629572,24422,520
409.8878174,24397,494
410.3342403,24370,467
410.83644,24341,446
411.1745843,24321,422
411.713174,24289,400
411.7954234,24284,384
412.3743314,24250,372
412.441845,24246,356
412.8115603,24224,344
413.1807782,24202,330
413.6420896,24175,312
413.9167906,24159,297
414.363063,24133,284
414.5060677,24125,271
415.0964664,24091,246
415.1805601,24086,258
415.4691528,24069,236
415.9129726,24043,218
415.9194865,24043,226
415.982736,24039,211
416.6512681,24001,200
416.8067336,23992,191
417.0304743,23979,184
417.2520514,23966,175
417.6999643,23941,163
417.7065342,23940,169
417.9245555,23928,157
418.0029454,23923,145
418.1488398,23915,151
418.6953195,23884,138
418.8049756,23877,122
418.8191761,23877,131
419.1827734,23856,126
419.6504264,23829,116
419.7132127,23826,107
419.7198462,23825,111
419.9360458,23813,101
420.5667229,23777,95
420.8516462,23761,91
420.922613,23757,87
421.4338296,23729,82
421.7645494,23710,78
421.9938134,23697,76
422.2227675,23684,73
422.2931716,23680,70
422.5769709,23664,67
423.2110348,23629,60
423.2432336,23627,63
423.8346834,23594,57
424.2994307,23568,53
424.5857891,23552,50
425.0422669,23527,48
425.2266196,23517,46
425.298171,23513,44
426.0312705,23472,42
426.1597625,23465,40
426.5530172,23444,38
426.6256154,23440,37
426.857547,23427,35
427.4765906,23393,33
427.8334232,23374,31
428.1204953,23358,32
428.3456678,23346,28
428.3546881,23345,29
428.5792625,23333,26
429.2185075,23298,25
429.6895401,23273,23
429.8438529,23264,24
430.0171629,23255,21
430.1717401,23247,22
430.6415804,23221,20
430.6484183,23221,20
431.1228733,23195,19
431.5961829,23170,17
431.7093179,23164,17
432.0848125,23144,16
432.1593257,23140,16
432.5648616,23118,15
432.8059623,23105,15
433.0343567,23093,13
433.2916514,23079,14
433.8559323,23049,13
434.0157155,23041,12
