Wavelength,Wavenumber,Epsilon
269.2822187,37136,2019
270.2433557,37004,2034
271.089976,36888,2047
272.0038036,36764,2084
272.9240211,36640,2128
273.8509888,36516,2187
274.784317,36392,2249
275.7242836,36268,2320
276.6285586,36150,2393
277.4751622,36039,2465
278.3478356,35926,2524
279.2050359,35816,2601
280.1321248,35697,2675
281.1092319,35573,2765
282.0491247,35455,2847
282.8851338,35350,2928
283.6483402,35255,2999
284.527343,35146,3087
285.4892818,35028,3140
286.0982558,34953,3238
287.1167418,34829,3316
288.1429228,34705,3413
289.1301916,34586,3501
290.0550424,34476,3600
291.055307,34358,3685
292.1096956,34234,3785
293.1716553,34110,3882
294.2413888,33986,3983
295.31886,33862,4083
296.4524273,33732,4177
297.4973042,33614,4272
298.5987226,33490,4375
299.7081513,33366,4471
300.8260064,33242,4578
301.9520532,33118,4677
303.1118516,32991,4781
304.2805595,32864,4884
305.381244,32746,4984
306.5419007,32622,5103
307.7112549,32498,5215
308.8895647,32374,5330
310.0767454,32250,5437
311.2463566,32129,5542
312.478559,32002,5650
313.693377,31878,5754
314.8904593,31757,5862
316.222492,31623,5980
317.2881156,31517,6062
318.6478317,31383,6141
319.9422824,31256,6219
321.1548758,31138,6285
322.4291513,31015,6345
323.7588193,30887,6402
325.105278,30759,6431
326.3752971,30640,6475
327.6993293,30516,6504
329.0337244,30392,6508
330.3786654,30268,6489
331.7340727,30145,6437
333.1315696,30018,6410
334.5700383,29889,6289
335.6476708,29793,6110
336.8896772,29683,6011
339.0037044,29498,5705
340.0950915,29404,5584
341.2408784,29305,5434
342.3939204,29206,5265
343.5546987,29107,5098
344.6816233,29012,4948
345.6049312,28935,4812
346.4910087,28861,4690
347.3383053,28790,4546
348.2329257,28716,4417
348.8736706,28664,4288
349.9656307,28574,4168
350.7266111,28512,4037
351.6389417,28438,3927
352.2556218,28388,3809
353.1626449,28316,3693
354.0928884,28241,3582
354.977092,28171,3452
356.8490671,28023,3211
358.3699732,27904,2995
359.0029316,27855,2905
359.6383106,27806,2822
360.2758217,27757,2739
360.9691644,27703,2655
361.6114833,27654,2579
362.2560084,27605,2503
362.9567294,27551,2421
363.6060087,27502,2349
364.2569355,27453,2267
364.5269667,27433,2202
365.5116676,27359,2127
366.0581873,27318,2043
366.4967937,27285,1981
367.1581482,27236,1912
367.8223563,27187,1852
368.1051421,27166,1792
368.8200925,27113,1726
369.4892213,27064,1659
369.890817,27035,1607
370.4966509,26991,1553
371.1711747,26942,1484
371.8482073,26893,1419
372.5275205,26844,1355
372.8664581,26819,1309
373.4738727,26776,1260
373.8913942,26746,1216
374.5022338,26702,1171
374.9219021,26672,1129
375.5263978,26629,1088
375.9000074,26603,1051
376.4537787,26564,1014
377.1743275,26513,976
377.3985752,26497,948
377.6959341,26476,915
378.0446902,26452,885
378.343099,26431,855
379.0468597,26382,819
379.7535311,26333,786
380.1567083,26305,759
380.5107018,26280,738
381.2239838,26231,714
381.6510548,26202,689
382.2148065,26163,662
382.6514483,26133,636
383.0100098,26109,619
383.247619,26093,599
383.7291524,26060,584
384.1498045,26032,565
384.3274918,26019,546
384.8113721,25987,531
385.1121706,25966,513
385.7207082,25925,499
385.9009615,25913,486
386.2653915,25889,471
386.6308445,25864,458
386.9347881,25844,445
387.7347242,25791,431
387.9779532,25775,417
388.4708081,25742,405
388.9655367,25709,394
389.0865894,25701,385
389.4568379,25677,373
389.9534314,25644,361
390.3789,25616,349
390.9489614,25579,337
391.3235487,25554,328
391.9055238,25516,310
391.9617418,25513,320
392.424642,25483,303
392.4662693,25480,296
392.9524588,25448,287
393.3293969,25424,277
393.7065103,25400,266
394.1802689,25369,256
394.6551069,25339,245
395.1518808,25307,238
395.2246503,25302,231
395.6068241,25278,224
395.9897524,25253,217
396.4375694,25225,210
396.6919312,25208,203
397.4438876,25161,194
397.6027466,25151,187
398.2534477,25110,180
398.6857021,25082,169
398.6900536,25082,174
399.0473144,25060,163
399.5315294,25029,159
399.7888303,25013,154
400.2444469,24985,148
400.635039,24960,142
401.0271092,24936,138
401.2207566,24924,133
401.4601263,24909,125
401.4645864,24909,129
402.4392669,24848,117
402.4437488,24848,120
402.6065202,24838,122
402.9878371,24815,108
402.9923737,24814,111
402.9969104,24814,114
403.1846697,24803,105
403.4119362,24789,102
403.8231371,24763,98
404.1713896,24742,92
404.1758616,24742,95
404.7065628,24709,90
405.0291978,24690,86
405.3037652,24673,83
405.9782269,24632,81
406.0411602,24628,79
406.488574,24601,76
406.9824324,24571,73
407.2502632,24555,70
407.6559825,24530,68
407.9944545,24510,66
408.1958992,24498,64
408.4651126,24482,62
409.0069893,24449,59
409.0116157,24449,60
409.4164366,24425,57
409.6877005,24409,55
410.0976669,24384,53
410.4402858,24364,52
410.6441065,24352,50
411.0565094,24328,49
411.3297469,24311,47
411.7030953,24289,46
412.2963052,24254,44
412.7053024,24230,41
412.7100605,24230,42
413.116995,24206,38
413.1217625,24206,39
413.3231255,24194,37
413.7417188,24170,36
413.8024583,24166,34
413.9487845,24158,35
414.3622275,24133,33
414.4954526,24126,32
415.0190998,24095,32
415.1320207,24089,31
415.1919813,24085,29
415.1967005,24085,30
415.6934,24056,27
415.7561464,24053,28
416.2457805,24024,27
416.4500317,24012,25
416.4548765,24012,26
416.874684,23988,24
417.184796,23970,23
417.2978126,23964,23
417.8420937,23932,22
418.1395351,23915,21
418.1444193,23915,21
418.4936088,23895,20
418.9923312,23867,19
419.4150474,23843,18
419.4199614,23842,18
419.6276355,23831,17
419.6953641,23827,17
420.1615292,23800,16
420.7744192,23766,15
420.7758852,23766,15
421.3130755,23735,15
