Wavelength,Wavenumber,Epsilon
200.0,50000.0,1.00000E-20
200.5,49879.9,1.00000E-20
201.0,49760.3,1.00000E-20
201.4,49641.3,2.00986E+04
201.9,49522.9,2.26330E+04
202.4,49405.0,2.51211E+04
202.9,49287.8,2.75658E+04
203.4,49171.0,2.95694E+04
203.9,49054.8,3.10908E+04
204.3,48939.2,3.25827E+04
204.8,48824.1,3.41634E+04
205.3,48709.5,3.56311E+04
205.8,48595.5,3.69295E+04
206.3,48482.0,3.81122E+04
206.7,48369.1,3.91943E+04
207.2,48256.6,4.01120E+04
207.7,48144.7,4.07893E+04
208.2,48033.3,4.12981E+04
208.7,47922.4,4.17053E+04
209.2,47812.1,4.19917E+04
209.6,47702.2,4.21916E+04
210.1,47592.8,4.22795E+04
210.6,47484.0,4.22086E+04
211.1,47375.6,4.20007E+04
211.6,47267.8,4.16754E+04
212.0,47160.4,4.12253E+04
212.5,47053.5,4.06512E+04
213.0,46947.1,3.99529E+04
213.5,46841.2,3.91538E+04
214.0,46735.7,3.82456E+04
214.5,46630.7,3.71953E+04
214.9,46526.2,3.60108E+04
215.4,46422.2,3.47435E+04
215.9,46318.6,3.33884E+04
216.4,46215.5,3.19746E+04
216.9,46112.8,3.05045E+04
217.3,46010.6,2.89411E+04
217.8,45908.9,2.72759E+04
218.3,45807.6,2.56577E+04
218.8,45706.7,2.41619E+04
219.3,45606.3,2.27075E+04
219.7,45506.4,2.12692E+04
220.2,45406.8,1.98904E+04
220.7,45307.7,1.86086E+04
221.2,45209.1,1.74399E+04
221.7,45110.8,1.64510E+04
222.2,45013.0,1.55979E+04
222.6,44915.6,1.48455E+04
223.1,44818.7,1.42027E+04
223.6,44722.1,1.36424E+04
224.1,44626.0,1.31789E+04
224.6,44530.2,1.28323E+04
225.0,44434.9,1.25906E+04
225.5,44340.0,1.23983E+04
226.0,44245.5,1.22759E+04
226.5,44151.4,1.22000E+04
227.0,44057.7,1.21789E+04
227.5,43964.4,1.21780E+04
227.9,43871.5,1.22065E+04
228.4,43779.0,1.22663E+04
228.9,43686.9,1.23575E+04
229.4,43595.1,1.24530E+04
229.9,43503.8,1.25516E+04
230.3,43412.8,1.26585E+04
230.8,43322.2,1.27738E+04
231.3,43232.0,1.28896E+04
231.8,43142.1,1.30021E+04
232.3,43052.7,1.31322E+04
232.8,42963.6,1.32944E+04
233.2,42874.8,1.34753E+04
233.7,42786.5,1.36691E+04
234.2,42698.5,1.38703E+04
234.7,42610.8,1.40637E+04
235.2,42523.6,1.42664E+04
235.6,42436.6,1.45040E+04
236.1,42350.1,1.47555E+04
236.6,42263.8,1.49839E+04
237.1,42178.0,1.52064E+04
237.6,42092.5,1.54327E+04
238.1,42007.3,1.56591E+04
238.5,41922.5,1.58854E+04
239.0,41838.0,1.61106E+04
239.5,41753.8,1.62877E+04
240.0,41670.0,1.64337E+04
240.5,41586.5,1.65604E+04
240.9,41503.4,1.66645E+04
241.4,41420.6,1.67348E+04
241.9,41338.1,1.67730E+04
242.4,41256.0,1.67888E+04
242.9,41174.1,1.67824E+04
243.4,41092.6,1.67525E+04
243.8,41011.5,1.66990E+04
244.3,40930.6,1.66430E+04
244.8,40850.1,1.65941E+04
245.3,40769.8,1.65333E+04
245.8,40689.9,1.64519E+04
246.2,40610.3,1.63701E+04
246.7,40531.0,1.63050E+04
247.2,40452.1,1.62394E+04
247.7,40373.4,1.61595E+04
248.2,40295.0,1.60752E+04
248.7,40217.0,1.59944E+04
249.1,40139.2,1.59112E+04
249.6,40061.8,1.58165E+04
250.1,39984.6,1.57106E+04
250.6,39907.7,1.55730E+04
251.1,39831.2,1.54150E+04
251.5,39754.9,1.52694E+04
252.0,39678.9,1.51230E+04
252.5,39603.2,1.49531E+04
253.0,39527.8,1.47679E+04
253.5,39452.7,1.45324E+04
253.9,39377.8,1.42574E+04
254.4,39303.3,1.39944E+04
254.9,39229.0,1.37348E+04
255.4,39155.0,1.34481E+04
255.9,39081.3,1.31345E+04
256.4,39007.9,1.28060E+04
256.8,38934.7,1.24639E+04
257.3,38861.8,1.21060E+04
257.8,38789.2,1.17319E+04
258.3,38716.9,1.13239E+04
258.8,38644.8,1.08691E+04
259.2,38573.0,1.04065E+04
259.7,38501.5,9.96955E+03
260.2,38430.2,9.53210E+03
260.7,38359.2,9.08132E+03
261.2,38288.5,8.62635E+03
261.7,38218.0,8.17374E+03
262.1,38147.7,7.72337E+03
262.6,38077.8,7.28467E+03
263.1,38008.1,6.84991E+03
263.6,37938.6,6.39972E+03
264.1,37869.4,5.94999E+03
264.5,37800.4,5.57524E+03
265.0,37731.7,5.24459E+03
265.5,37663.3,4.90174E+03
266.0,37595.1,4.56714E+03
266.5,37527.1,4.29844E+03
267.0,37459.4,4.07696E+03
267.4,37391.9,3.87009E+03
267.9,37324.7,3.68406E+03
268.4,37257.7,3.52244E+03
268.9,37191.0,3.38516E+03
269.4,37124.5,3.26196E+03
269.8,37058.2,3.15139E+03
270.3,36992.2,3.04948E+03
270.8,36926.4,2.95399E+03
271.3,36860.8,2.86628E+03
271.8,36795.5,2.78603E+03
272.3,36730.4,2.72398E+03
272.7,36665.5,2.69072E+03
273.2,36600.8,2.66765E+03
273.7,36536.4,2.63578E+03
274.2,36472.2,2.60777E+03
274.7,36408.3,2.59062E+03
275.1,36344.5,2.57820E+03
275.6,36281.0,2.56121E+03
276.1,36217.7,2.54591E+03
276.6,36154.6,2.54332E+03
277.1,36091.8,2.54762E+03
277.6,36029.2,2.54762E+03
278.0,35966.7,2.54703E+03
278.5,35904.5,2.53469E+03
279.0,35842.5,2.51470E+03
279.5,35780.8,2.49876E+03
280.0,35719.2,2.48285E+03
280.4,35657.9,2.45639E+03
280.9,35596.7,2.42165E+03
281.4,35535.8,2.37852E+03
281.9,35475.1,2.32706E+03
282.4,35414.5,2.29373E+03
282.9,35354.2,2.28149E+03
283.3,35294.1,2.25467E+03
283.8,35234.2,2.20328E+03
284.3,35174.5,2.15601E+03
284.8,35115.0,2.12485E+03
285.3,35055.7,2.10151E+03
285.7,34996.6,2.08562E+03
286.2,34937.7,2.07739E+03
286.7,34879.0,2.07683E+03
287.2,34820.5,2.08392E+03
287.7,34762.2,2.09868E+03
288.2,34704.1,2.11824E+03
288.6,34646.2,2.13415E+03
289.1,34588.5,2.15005E+03
289.6,34530.9,2.16596E+03
290.1,34473.6,2.18334E+03
290.6,34416.4,2.21326E+03
291.0,34359.5,2.25132E+03
291.5,34302.7,2.29582E+03
292.0,34246.1,2.34728E+03
292.5,34189.7,2.38406E+03
293.0,34133.5,2.41378E+03
293.4,34077.5,2.44550E+03
293.9,34021.6,2.47708E+03
294.4,33966.0,2.51916E+03
294.9,33910.5,2.57073E+03
295.4,33855.2,2.62070E+03
295.9,33800.1,2.66827E+03
296.3,33745.1,2.72391E+03
296.8,33690.4,2.79012E+03
297.3,33635.8,2.85108E+03
297.8,33581.4,2.89933E+03
298.3,33527.1,2.95103E+03
298.7,33473.1,3.01599E+03
299.2,33419.2,3.07893E+03
299.7,33365.5,3.12716E+03
300.2,33311.9,3.17531E+03
300.7,33258.6,3.23902E+03
301.2,33205.4,3.29860E+03
301.6,33152.3,3.31955E+03
302.1,33099.5,3.32610E+03
302.6,33046.8,3.35674E+03
303.1,32994.3,3.39393E+03
303.6,32941.9,3.42595E+03
304.0,32889.7,3.45586E+03
304.5,32837.7,3.46263E+03
305.0,32785.8,3.45456E+03
305.5,32734.2,3.46650E+03
306.0,32682.6,3.48610E+03
306.5,32631.2,3.49151E+03
306.9,32580.0,3.48840E+03
307.4,32529.0,3.50775E+03
307.9,32478.1,3.54604E+03
308.4,32427.4,3.57279E+03
308.9,32376.8,3.58660E+03
309.3,32326.4,3.61631E+03
309.8,32276.1,3.66809E+03
310.3,32226.0,3.72143E+03
310.8,32176.1,3.76909E+03
311.3,32126.3,3.81703E+03
311.8,32076.6,3.86599E+03
312.2,32027.2,3.91480E+03
312.7,31977.8,3.96254E+03
313.2,31928.6,4.01030E+03
313.7,31879.6,4.05917E+03
314.2,31830.7,4.10194E+03
314.6,31782.0,4.12106E+03
315.1,31733.4,4.12444E+03
315.6,31685.0,4.11280E+03
316.1,31636.7,4.08901E+03
316.6,31588.6,4.07311E+03
317.1,31540.6,4.05623E+03
317.5,31492.7,4.02674E+03
318.0,31445.0,3.98956E+03
318.5,31397.5,3.96948E+03
319.0,31350.0,3.95765E+03
319.5,31302.8,3.94211E+03
319.9,31255.6,3.92621E+03
320.4,31208.7,3.93023E+03
320.9,31161.8,3.95138E+03
321.4,31115.1,3.98853E+03
321.9,31068.5,4.04171E+03
322.4,31022.1,4.09455E+03
322.8,30975.8,4.14349E+03
323.3,30929.7,4.21287E+03
323.8,30883.7,4.31214E+03
324.3,30837.8,4.41686E+03
324.8,30792.0,4.51351E+03
325.2,30746.4,4.61548E+03
325.7,30701.0,4.72895E+03
326.2,30655.6,4.85005E+03
326.7,30610.4,4.97772E+03
327.2,30565.4,5.11618E+03
327.6,30520.4,5.27466E+03
328.1,30475.6,5.44397E+03
328.6,30431.0,5.60547E+03
329.1,30386.4,5.76711E+03
329.6,30342.0,5.92963E+03
330.1,30297.7,6.09360E+03
330.5,30253.6,6.26805E+03
331.0,30209.5,6.44998E+03
331.5,30165.6,6.65257E+03
332.0,30121.9,6.87107E+03
332.5,30078.2,7.08116E+03
332.9,30034.7,7.29012E+03
333.4,29991.3,7.48992E+03
333.9,29948.1,7.68196E+03
334.4,29904.9,7.88430E+03
334.9,29861.9,8.09687E+03
335.4,29819.0,8.32509E+03
335.8,29776.3,8.57044E+03
336.3,29733.6,8.81021E+03
336.8,29691.1,9.03559E+03
337.3,29648.7,9.26531E+03
337.8,29606.4,9.50795E+03
338.2,29564.2,9.75824E+03
338.7,29522.2,1.00162E+04
339.2,29480.3,1.02734E+04
339.7,29438.5,1.05165E+04
340.2,29396.8,1.07588E+04
340.7,29355.2,1.10167E+04
341.1,29313.8,1.12800E+04
341.6,29272.4,1.15383E+04
342.1,29231.2,1.17999E+04
342.6,29190.1,1.20858E+04
343.1,29149.1,1.23842E+04
343.5,29108.2,1.26616E+04
344.0,29067.5,1.29308E+04
344.5,29026.8,1.31936E+04
345.0,28986.3,1.34493E+04
345.5,28945.9,1.37545E+04
346.0,28905.6,1.40910E+04
346.4,28865.4,1.43749E+04
346.9,28825.3,1.46216E+04
347.4,28785.4,1.49221E+04
347.9,28745.5,1.52737E+04
348.4,28705.8,1.55808E+04
348.8,28666.1,1.58305E+04
349.3,28626.6,1.60994E+04
349.8,28587.2,1.64097E+04
350.3,28547.9,1.66746E+04
350.8,28508.7,1.68481E+04
351.3,28469.6,1.70339E+04
351.7,28430.6,1.73085E+04
352.2,28391.7,1.76166E+04
352.7,28352.9,1.79375E+04
353.2,28314.2,1.82605E+04
353.7,28275.7,1.85396E+04
354.1,28237.2,1.88063E+04
354.6,28198.9,1.90946E+04
355.1,28160.6,1.93844E+04
355.6,28122.5,1.96485E+04
356.1,28084.4,1.99026E+04
356.6,28046.5,2.01878E+04
357.0,28008.6,2.04860E+04
357.5,27970.9,2.07516E+04
358.0,27933.3,2.10013E+04
358.5,27895.7,2.12477E+04
359.0,27858.3,2.14865E+04
359.4,27821.0,2.17281E+04
359.9,27783.7,2.19703E+04
360.4,27746.6,2.21938E+04
360.9,27709.6,2.23996E+04
361.4,27672.6,2.25984E+04
361.8,27635.8,2.27913E+04
362.3,27599.0,2.29831E+04
362.8,27562.4,2.31764E+04
363.3,27525.9,2.33700E+04
363.8,27489.4,2.35645E+04
364.3,27453.1,2.37424E+04
364.7,27416.8,2.38868E+04
365.2,27380.6,2.40215E+04
365.7,27344.6,2.41670E+04
366.2,27308.6,2.43093E+04
366.7,27272.7,2.44402E+04
367.1,27236.9,2.45603E+04
367.6,27201.3,2.46607E+04
368.1,27165.7,2.47495E+04
368.6,27130.2,2.48472E+04
369.1,27094.8,2.49439E+04
369.6,27059.4,2.50278E+04
370.0,27024.2,2.51028E+04
370.5,26989.1,2.51578E+04
371.0,26954.0,2.51970E+04
371.5,26919.1,2.52456E+04
372.0,26884.2,2.52948E+04
372.4,26849.5,2.53323E+04
372.9,26814.8,2.53609E+04
373.4,26780.2,2.53827E+04
373.9,26745.7,2.53976E+04
374.4,26711.3,2.53950E+04
374.9,26676.9,2.53740E+04
375.3,26642.7,2.53456E+04
375.8,26608.6,2.53126E+04
376.3,26574.5,2.52651E+04
376.8,26540.5,2.51989E+04
377.3,26506.6,2.51282E+04
377.7,26472.8,2.50634E+04
378.2,26439.1,2.49847E+04
378.7,26405.5,2.48737E+04
379.2,26372.0,2.47431E+04
379.7,26338.5,2.45998E+04
380.2,26305.1,2.44437E+04
380.6,26271.8,2.42839E+04
381.1,26238.6,2.41140E+04
381.6,26205.5,2.39242E+04
382.1,26172.5,2.37142E+04
382.6,26139.5,2.34543E+04
383.0,26106.6,2.31598E+04
383.5,26073.9,2.28848E+04
384.0,26041.1,2.26091E+04
384.5,26008.5,2.23219E+04
385.0,25976.0,2.20270E+04
385.5,25943.5,2.16694E+04
385.9,25911.1,2.12628E+04
386.4,25878.8,2.08786E+04
386.9,25846.6,2.05091E+04
387.4,25814.5,2.01214E+04
387.9,25782.4,1.97138E+04
388.3,25750.4,1.92751E+04
388.8,25718.5,1.88011E+04
389.3,25686.7,1.83359E+04
389.8,25655.0,1.79006E+04
390.3,25623.3,1.74641E+04
390.8,25591.7,1.70125E+04
391.2,25560.2,1.65337E+04
391.7,25528.8,1.60024E+04
392.2,25497.4,1.54671E+04
392.7,25466.1,1.49933E+04
393.2,25434.9,1.45382E+04
393.6,25403.8,1.40694E+04
394.1,25372.8,1.35965E+04
394.6,25341.8,1.31004E+04
395.1,25310.9,1.25968E+04
395.6,25280.1,1.21359E+04
396.1,25249.3,1.16945E+04
396.5,25218.7,1.12292E+04
397.0,25188.1,1.07565E+04
397.5,25157.5,1.02879E+04
398.0,25127.1,9.81928E+03
398.5,25096.7,9.39571E+03
398.9,25066.4,9.00486E+03
399.4,25036.2,8.61479E+03
399.9,25006.0,8.22954E+03
400.4,24975.9,7.83364E+03
400.9,24945.9,7.42650E+03
401.3,24916.0,7.05171E+03
401.8,24886.1,6.71872E+03
402.3,24856.3,6.39623E+03
402.8,24826.6,6.07407E+03
403.3,24796.9,5.75333E+03
403.8,24767.4,5.42906E+03
404.2,24737.8,5.12001E+03
404.7,24708.4,4.84494E+03
405.2,24679.0,4.58939E+03
405.7,24649.7,4.34533E+03
406.2,24620.5,4.10677E+03
406.6,24591.3,3.84899E+03
407.1,24562.2,3.59055E+03
407.6,24533.2,3.35990E+03
408.1,24504.3,3.14851E+03
408.6,24475.4,2.97619E+03
409.1,24446.5,2.82920E+03
409.5,24417.8,2.64235E+03
410.0,24389.1,2.44180E+03
410.5,24360.5,2.28476E+03
411.0,24331.9,2.15070E+03
411.5,24303.4,2.01717E+03
411.9,24275.0,1.89074E+03
412.4,24246.7,1.76267E+03
412.9,24218.4,1.63441E+03
413.4,24190.2,1.51433E+03
413.9,24162.0,1.40249E+03
414.4,24133.9,1.30686E+03
414.8,24105.9,1.22926E+03
415.3,24077.9,1.14629E+03
415.8,24050.0,1.04869E+03
416.3,24022.2,9.55343E+02
416.8,23994.5,8.74945E+02
417.2,23966.8,8.02208E+02
417.7,23939.1,7.37133E+02
418.2,23911.5,6.75566E+02
418.7,23884.0,6.10721E+02
419.2,23856.6,5.52764E+02
419.7,23829.2,5.18057E+02
420.1,23801.9,4.88766E+02
420.6,23774.6,4.28023E+02
421.1,23747.4,3.62336E+02
421.6,23720.3,3.51903E+02
422.1,23693.2,3.66056E+02
422.5,23666.2,3.39546E+02
423.0,23639.3,2.97610E+02
423.5,23612.4,2.53331E+02
424.0,23585.5,2.01980E+02
424.5,23558.8,1.76911E+02
425.0,23532.1,1.67717E+02
425.4,23505.4,1.63585E+02
425.9,23478.9,1.66359E+02
426.4,23452.3,1.48628E+02
426.9,23425.9,1.11043E+02
427.4,23399.5,9.11568E+01
427.8,23373.1,9.44984E+01
428.3,23346.8,9.90600E+01
428.8,23320.6,9.90600E+01
429.3,23294.4,9.29597E+01
429.8,23268.3,7.66101E+01
430.3,23242.3,5.77689E+01
430.7,23216.3,4.18635E+01
431.2,23190.3,3.02442E+01
431.7,23164.5,2.95239E+01
432.2,23138.7,2.95750E+01
432.7,23112.9,1.49712E+01
433.1,23087.2,-1.99559E+00
433.6,23061.5,-3.88037E+00
434.1,23036.0,0.00000E+00
434.6,23010.4,0.00000E+00
435.1,22984.9,0.00000E+00
435.5,22959.5,0.00000E+00
436.0,22934.2,0.00000E+00
436.5,22908.9,0.00000E+00
437.0,22883.6,0.00000E+00
437.5,22858.4,0.00000E+00
438.0,22833.3,0.00000E+00
438.4,22808.2,0.00000E+00
438.9,22783.1,0.00000E+00
439.4,22758.2,0.00000E+00
439.9,22733.2,0.00000E+00
440.4,22708.4,0.00000E+00
440.8,22683.6,0.00000E+00
441.3,22658.8,0.00000E+00
441.8,22634.1,0.00000E+00
442.3,22609.5,0.00000E+00
442.8,22584.9,0.00000E+00
443.3,22560.3,0.00000E+00
443.7,22535.8,0.00000E+00
444.2,22511.4,0.00000E+00
444.7,22487.0,0.00000E+00
445.2,22462.7,0.00000E+00
445.7,22438.4,0.00000E+00
446.1,22414.2,0.00000E+00
446.6,22390.0,0.00000E+00
447.1,22365.9,0.00000E+00
447.6,22341.8,0.00000E+00
448.1,22317.8,0.00000E+00
448.6,22293.8,0.00000E+00
449.0,22269.9,1.00000E-20
449.5,22246.0,1.00000E-20
450.0,22222.2,1.00000E-20
