Wavelength,Wavenumber,Epsilon
200.0,50000.0,1.00000E-20
201.3,49688.8,2.68032E+04
202.5,49381.5,3.29972E+04
203.8,49078.0,3.64593E+04
205.0,48778.2,3.80064E+04
206.3,48482.0,3.91705E+04
207.5,48189.4,3.96091E+04
208.8,47900.3,4.02551E+04
210.0,47614.7,4.06885E+04
211.3,47332.4,4.05447E+04
212.5,47053.5,4.04134E+04
213.8,46777.8,4.03776E+04
215.0,46505.4,4.01977E+04
216.3,46236.1,3.99176E+04
217.5,45969.9,3.96636E+04
218.8,45706.7,3.90959E+04
220.0,45446.6,3.86097E+04
221.3,45189.4,3.84459E+04
222.5,44935.1,3.79214E+04
223.8,44683.6,3.76792E+04
225.0,44434.9,3.69828E+04
226.3,44189.0,3.64461E+04
227.6,43945.8,3.58406E+04
228.8,43705.3,3.52491E+04
230.1,43467.3,3.39359E+04
231.3,43232.0,3.28374E+04
232.6,42999.2,3.16773E+04
233.8,42768.9,3.01289E+04
235.1,42541.0,2.83017E+04
236.3,42315.5,2.63650E+04
237.6,42092.5,2.47491E+04
238.8,41871.7,2.33304E+04
240.1,41653.3,2.20973E+04
241.3,41437.1,2.09324E+04
242.6,41223.2,2.02279E+04
243.8,41011.5,1.93689E+04
245.1,40801.9,1.84329E+04
246.3,40594.4,1.77643E+04
247.6,40389.1,1.73790E+04
248.8,40185.8,1.66511E+04
250.1,39984.6,1.61001E+04
251.3,39785.4,1.59556E+04
252.6,39588.1,1.56002E+04
253.9,39392.8,1.53224E+04
255.1,39199.4,1.48533E+04
256.4,39007.9,1.46432E+04
257.6,38818.3,1.43344E+04
258.9,38630.4,1.41088E+04
260.1,38444.4,1.33084E+04
261.4,38260.2,1.30119E+04
262.6,38077.8,1.26863E+04
263.9,37897.0,1.24390E+04
265.1,37718.0,1.20976E+04
266.4,37540.7,1.20816E+04
267.6,37365.0,1.21500E+04
268.9,37191.0,1.23031E+04
270.1,37018.5,1.26676E+04
271.4,36847.7,1.34223E+04
272.6,36678.4,1.39310E+04
273.9,36510.7,1.41678E+04
275.1,36344.5,1.45546E+04
276.4,36179.9,1.41536E+04
277.6,36016.7,1.38662E+04
278.9,35854.9,1.29855E+04
280.2,35694.6,1.17248E+04
281.4,35535.8,1.07105E+04
282.7,35378.3,9.99759E+03
283.9,35222.3,9.19217E+03
285.2,35067.6,8.71572E+03
